time(s),Temperature (in),Heater 1 %(in),Heater 2 %(in)





0.001,29.0,0.0,0.0
2.783,29.0,0.0,0.0
3.917,29.0,0.0,0.0
5.023,29.0,0.0,0.0
6.141,29.0,0.0,0.0
7.263,29.0,0.0,0.0
8.381,29.0,0.0,0.0
9.505,29.0,0.0,0.0
10.622,29.0,0.0,0.0

11.744,29.0,0.0,0.0
12.862,29.0,0.0,0.0
13.985,29.0,0.0,0.0
15.106,29.0,0.0,0.0
16.225,29.0,0.0,0.0
17.343,29.0,0.0,0.0
18.465,29.0,0.0,0.0
19.583,29.0,0.0,0.0

20.708,29.0,100.0,0.0
21.824,29.0,100.0,0.0
22.942,29.0,100.0,0.0
24.064,29.0,100.0,0.0
25.183,29.0,100.0,0.0
26.305,29.0,100.0,0.0
27.423,29.0,100.0,0.0
28.545,29.0,100.0,0.0
29.663,29.0,100.0,0.0

30.786,29.0,100.0,0.0
31.904,29.0,100.0,0.0
33.026,29.0,100.0,0.0
34.144,29.0,100.0,0.0
35.266,29.0,100.0,0.0
36.388,29.0,100.0,0.0
37.507,29.0,100.0,0.0
38.625,29.0,100.0,0.0

39.743,29.0,100.0,0.0
40.865,29.0,100.0,0.0
41.984,29.0,100.0,0.0
43.106,29.0,100.0,0.0
44.224,29.0,100.0,0.0
45.346,29.0,100.0,0.0
46.465,29.0,100.0,0.0
47.587,29.0,100.0,0.0
48.707,29.0,100.0,0.0

49.827,29.0,100.0,0.0
50.945,29.0,100.0,0.0
52.068,29.0,100.0,0.0
53.186,29.0,100.0,0.0
54.31,29.0,100.0,0.0
55.426,29.0,100.0,0.0
56.548,29.0,100.0,0.0
57.667,29.0,100.0,0.0

58.789,29.0,100.0,0.0
59.907,29.0,100.0,0.0
61.025,29.0,100.0,0.0
62.148,29.0,100.0,0.0
63.266,29.0,100.0,0.0
64.388,29.0,100.0,0.0
65.506,29.0,100.0,0.0
66.628,29.0,100.0,0.0
67.747,29.0,100.0,0.0

68.878,29.0,100.0,0.0
69.987,29.0,100.0,0.0
71.11,29.0,100.0,0.0
72.227,29.0,100.0,0.0
73.35,29.0,100.0,0.0
74.473,29.0,100.0,0.0
75.59,29.0,100.0,0.0
76.708,29.0,100.0,0.0

77.83,29.0,100.0,0.0
78.949,29.0,100.0,0.0
80.071,29.0,100.0,0.0
81.189,29.0,100.0,0.0
82.307,29.0,100.0,0.0
83.429,29.0,100.0,0.0
84.548,29.0,100.0,0.0
85.67,29.0,100.0,0.0

86.788,29.0,100.0,0.0
87.91,29.0,100.0,0.0
89.029,29.0,100.0,0.0
90.151,29.0,100.0,0.0
91.27,29.0,100.0,0.0
92.391,29.0,100.0,0.0
93.509,29.0,100.0,0.0
94.632,29.0,100.0,0.0
95.75,29.0,100.0,0.0

96.872,29.0,100.0,0.0
97.994,29.0,100.0,0.0
99.112,29.0,100.0,0.0
100.231,29.0,100.0,0.0
101.353,29.0,100.0,0.0
102.471,29.5,100.0,0.0
103.589,29.5,100.0,0.0
104.711,29.5,100.0,0.0

105.83,29.5,100.0,0.0
106.952,29.5,100.0,0.0
108.07,29.5,100.0,0.0
109.192,29.5,100.0,0.0
